0010	259
0020	229
0040	11
0050	182
0060	3
0100	45
0110	120
0120	262
0135	4
0136	93
0137	11
0140	37
0150	47
0160	37
0205	70
0220	149
0230	199
0300	45
0310	192
0330	7
0340	37
0350	158
0360	5
0410	154
0420	74
0430	755
0500	4
0520	60
0530	47
0540	66
0565	36
0600	37
0630	144
0640	21
0650	26
0700	18
0710	195
0725	29
0726	20
0735	62
0740	49
0800	438
0810	26
0820	10
0830	5
0840	5
0850	90
0860	27
0900	1
0910	105
0930	16
0940	59
0950	17
1005	5
1006	128
1007	13
1010	102
1020	232
1030	41
1050	168
1060	35
1105	52
1106	23
1107	67
1200	3
1220	14
1240	10
1300	38
1310	5
1320	93
1340	3
1350	4
1360	81
1400	17
1410	65
1420	6
1430	35
1440	3
1450	10
1460	49
1520	7
1530	133
1540	45
1550	131
1560	20
1600	4
1610	17
1640	7
1650	23
1700	1
1710	2
1720	11
1740	14
1760	27
1800	3
1820	43
1840	2
1860	10
1900	4
1920	7
1930	5
1965	46
2000	210
2010	167
2016	33
2025	10
2040	79
2050	9
2060	27
2100	148
2105	3
2145	72
2160	39
2200	413
2300	103
2310	877
2320	223
2330	70
2340	213
2400	9
2430	31
2440	11
2540	287
2550	39
2600	57
2630	196
2700	17
2710	21
2720	94
2740	2
2750	48
2760	13
2800	17
2810	13
2825	25
2830	26
2840	17
2850	53
2860	36
2900	27
2910	35
2920	13
3000	19
3010	31
3030	18
3040	7
3050	59
3060	185
3110	24
3120	1
3150	16
3160	36
3200	4
3220	30
3230	37
3245	27
3250	16
3255	642
3258	24
3260	12
3300	81
3310	55
3320	70
3400	31
3420	129
3500	79
3510	34
3520	17
3535	44
3540	18
3600	368
3610	5
3620	11
3630	47
3640	73
3645	96
3646	19
3647	8
3648	9
3649	18
3655	25
3730	19
3740	13
3750	3
3820	4
3840	2
3850	3
3900	4
3910	37
3930	288
3940	18
3945	2
3955	53
4000	82
4010	107
4020	527
4030	249
4040	91
4050	85
4060	54
4110	441
4120	37
4130	102
4140	100
4150	84
4200	60
4210	47
4220	608
4230	417
4240	25
4250	436
4300	18
4320	42
4340	19
4350	57
4400	47
4410	3
4420	16
4430	75
4460	1
4465	7
4500	16
4510	166
4520	78
4530	16
4540	11
4600	357
4610	420
4620	133
4640	14
4650	23
4700	698
4710	287
4720	934
4740	26
4750	27
4760	913
4800	50
4810	132
4820	59
4830	29
4840	209
4850	279
4900	34
4920	275
4930	10
4940	65
4950	53
4965	70
5000	258
5010	23
5020	17
5030	2
5100	66
5110	123
5120	338
5130	2
5140	33
5150	10
5160	78
5165	31
5200	1
5220	8
5230	14
5240	789
5250	15
5260	78
5300	35
5310	59
5320	29
5330	49
5340	4
5350	21
5360	11
5400	325
5410	62
5420	41
5500	4
5510	50
5520	40
5530	4
5540	32
5550	69
5560	13
5600	75
5610	87
5620	389
5630	22
5700	789
5800	24
5810	97
5820	70
5840	117
5850	16
5860	259
5900	15
5910	1
5920	5
5940	152
6005	14
6010	3
6040	26
6050	257
6100	7
6120	3
6130	7
6200	210
6210	9
6220	27
6230	251
6240	61
6250	22
6260	437
6300	3
6320	92
6330	63
6355	188
6360	15
6400	8
6420	152
6440	134
6460	13
6515	52
6520	25
6530	11
6600	11
6660	26
6700	3
6710	9
6720	8
6730	11
6740	5
6765	22
6800	6
6820	7
6830	2
6840	26
6940	9
7000	51
7010	50
7020	45
7030	4
7040	6
7100	1
7120	14
7130	14
7140	43
7150	24
7160	6
7200	185
7210	64
7220	54
7240	5
7260	27
7300	5
7315	100
7320	8
7330	51
7340	121
7350	7
7360	5
7410	6
7420	38
7430	14
7510	7
7540	11
7560	2
7610	4
7630	79
7700	113
7720	33
7730	2
7740	1
7750	161
7800	46
7810	33
7840	17
7850	1
7855	4
7900	11
7920	2
7930	1
7940	1
7950	13
8030	52
8040	1
8100	3
8130	3
8140	127
8220	42
8250	5
8255	31
8256	1
8300	44
8310	5
8320	26
8330	3
8350	14
8410	2
8420	1
8450	10
8460	2
8500	14
8510	4
8530	6
8540	4
8550	6
8600	2
8610	19
8620	13
8630	7
8640	5
8650	10
8710	27
8720	3
8730	1
8740	160
8750	11
8760	17
8800	24
8810	22
8830	8
8850	1
8910	4
8920	7
8940	1
8950	6
8965	143
9000	51
9030	47
9040	7
9050	54
9110	5
9120	156
9130	609
9140	91
9150	16
9200	14
9240	13
9260	7
9300	1
9310	7
9350	19
9360	29
9410	10
9415	6
9420	5
9510	5
9520	9
9600	48
9610	84
9620	415
9630	1
9640	86
9650	3
9720	15
9750	4
9920	564
